"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
3.80416691959938e-37,-0.378875641061093,0.032,0.113,6.79462253509646e-33,"FAAP20",FALSE
3.98515933367714e-37,-0.478899935220393,0.143,0.268,7.11789308588073e-33,"HNRNPC",FALSE
4.12853079333708e-37,-0.334429522083298,0.136,0.263,7.37396884997936e-33,"SCAF11",FALSE
4.72967458451007e-37,-0.537798610720333,0.027,0.105,8.44767177539344e-33,"TMEM173",TRUE
7.72742681613555e-37,-0.761632018909499,0.027,0.104,1.38019570362997e-32,"CPNE1",TRUE
8.97711641861158e-37,-0.779282582949904,0.067,0.165,1.60340276352821e-32,"DYNC1H1",TRUE
1.00465445798141e-36,-0.285621071707138,0.459,0.633,1.7944133274006e-32,"EEF1D",FALSE
1.12756390985172e-36,-0.780082084215754,0.083,0.186,2.01394189938615e-32,"NOP53",TRUE
1.20190132023089e-36,-0.524243201765266,0.077,0.18,2.14671594806439e-32,"PRPF8",TRUE
1.39976667418708e-36,-0.414356770147432,0.107,0.223,2.50012325676554e-32,"MRPS24",FALSE
1.49286592822239e-36,-0.839626243517506,0.05,0.14,2.66640783439802e-32,"EVI2B",TRUE
1.83948501662986e-36,-0.329614846443744,0.196,0.34,3.28550418820259e-32,"ZFP36L2",FALSE
1.87676560304162e-36,-0.44879573162389,0.065,0.164,3.35209104359263e-32,"YME1L1",FALSE
1.97601756598118e-36,-0.807384637436235,0.041,0.124,3.52936497459898e-32,"MYCBP",TRUE
2.86283847174354e-36,-0.537340999929279,0.04,0.124,5.11331579438113e-32,"OXA1L",TRUE
3.93223769420993e-36,-1.0796262193034,0.033,0.111,7.02336974562835e-32,"CEP350",TRUE
4.83815266992133e-36,-0.554066596475528,0.054,0.146,8.6414244837465e-32,"JARID2",TRUE
5.79415721744446e-36,-0.316973400886357,0.19,0.332,1.03489442060776e-31,"HP1BP3",FALSE
6.49962391389901e-36,-0.33597178277365,0.763,0.852,1.1608978272615e-31,"RPS28",FALSE
8.22772908224026e-36,-0.536712530349348,0.084,0.189,1.46955469137893e-31,"BPTF",TRUE
9.70190224906955e-36,-0.343514460103268,0.201,0.344,1.73285676070631e-31,"CANX",FALSE
1.11505377746704e-35,-0.653989848172047,0.14,0.259,1.99159755193387e-31,"CLTC",TRUE
1.34228121488472e-35,-0.628080501685551,0.055,0.148,2.3974484779056e-31,"IDS",TRUE
1.36400227894474e-35,-0.382500727635278,0.305,0.468,2.4362444704232e-31,"RPL4",FALSE
1.53879689117905e-35,-1.082670328992,0.028,0.103,2.7484451273349e-31,"CHD3",TRUE
1.54713532382317e-35,-0.392396519372811,0.385,0.557,2.76333840188057e-31,"RPL3",FALSE
1.58660813548099e-35,-0.292580309428121,0.139,0.266,2.8338407907826e-31,"ENSA",FALSE
1.62009872082753e-35,0.502410067311145,0.9,0.856,2.89365832527004e-31,"LGALS3",TRUE
2.05731817477602e-35,-0.534740685004731,0.153,0.279,3.67457599196744e-31,"RRBP1",TRUE
2.36985917004618e-35,-0.78857933355768,0.034,0.113,4.23280546361949e-31,"CCPG1",TRUE
2.70899981353399e-35,-0.802352807595956,0.049,0.137,4.83854456695306e-31,"DMXL2",TRUE
3.10800141580725e-35,-0.750252386606468,0.056,0.146,5.55120132877333e-31,"PABPN1",TRUE
3.58598435574257e-35,-0.294032083454894,0.147,0.276,6.4049266577918e-31,"HIF1A",FALSE
3.87462369701224e-35,-0.650420394126459,0.085,0.187,6.92046538523357e-31,"ARID1A",TRUE
4.69736512236022e-35,-0.291934338429344,0.057,0.152,8.38996384504759e-31,"RSL1D1",FALSE
5.37595442724677e-35,-0.900418720564034,0.029,0.103,9.60199220250546e-31,"UBE2W",TRUE
5.71608134237521e-35,-0.279675401549253,0.164,0.311,1.02094928856164e-30,"IGFLR1",FALSE
5.950133458334e-35,1.78690373903739,0.168,0.081,1.06275333699303e-30,"FAM96A",TRUE
6.88941961317883e-35,-0.362689680658318,0.17,0.304,1.23051923710987e-30,"NCOR1",FALSE
9.737372820716e-35,1.50118905427557,0.165,0.078,1.73919215950808e-30,"PTP4A1",TRUE
1.09469422660108e-34,-0.403951921496089,0.095,0.202,1.95523335813219e-30,"PTP4A2",FALSE
1.21505958118187e-34,-0.382677085252563,0.085,0.188,2.17021791794894e-30,"MYDGF",FALSE
1.35632508364393e-34,-0.303175583557297,0.165,0.296,2.42253223189642e-30,"EIF4B",FALSE
1.36669369735426e-34,-0.38126849361495,0.089,0.195,2.44105161284445e-30,"FNBP1",FALSE
1.86495801810339e-34,-0.606292659092595,0.071,0.168,3.33100151613447e-30,"LRPAP1",TRUE
1.87947913306816e-34,-0.692914181945696,0.027,0.1,3.35693767957305e-30,"MIS18BP1",TRUE
2.21276898937592e-34,-0.786957882513147,0.052,0.138,3.95222669192434e-30,"FAM120A",TRUE
2.78449673825637e-34,-0.418642769409122,0.144,0.266,4.9733896241997e-30,"HDLBP",FALSE
5.08931143373614e-34,-0.291647619545233,0.623,0.77,9.09001915179613e-30,"RPL13",FALSE
5.17276918350996e-34,-0.414907067021962,0.252,0.403,9.23908303866713e-30,"GNAI2",FALSE
5.97893002138481e-34,-0.985686644267701,0.065,0.157,1.06789669111954e-29,"PICALM",TRUE
6.79703758960244e-34,-0.91204623965126,0.028,0.1,1.21401888387889e-29,"GOLGB1",TRUE
6.95561658337099e-34,-0.675231445084919,0.032,0.108,1.24234267795589e-29,"CISD3",TRUE
6.9873218105105e-34,-0.502235810641538,0.038,0.118,1.24800554857528e-29,"MANBA",TRUE
9.03773059857032e-34,-0.322280288939543,0.115,0.229,1.61422906221064e-29,"ATRX",FALSE
1.09962714599482e-33,-0.484530402937731,0.127,0.243,1.96404404546135e-29,"NUCKS1",FALSE
1.20089077536452e-33,-0.27485226663984,0.153,0.281,2.14491101387857e-29,"PAK1",FALSE
1.28172818342975e-33,-0.401740610973253,0.381,0.553,2.28929470842388e-29,"RPL13A",FALSE
1.50281738663944e-33,-0.595465448826515,0.104,0.216,2.68418213427671e-29,"SLC2A3",TRUE
1.55447603298063e-33,-0.290353742067692,0.078,0.18,2.7764496425067e-29,"RSRP1",FALSE
2.09374517007143e-33,-0.277621259377627,0.068,0.165,3.73963824826457e-29,"AKAP9",FALSE
3.64254602413749e-33,-0.285903725000716,0.65,0.793,6.50595145371198e-29,"RPL18A",FALSE
4.50589623811243e-33,-0.29869582231452,0.035,0.112,8.04798127089261e-29,"TMEM123",FALSE
4.59280184787358e-33,-0.54440089404711,0.076,0.172,8.20320338048699e-29,"GNB1",TRUE
5.36125465773943e-33,-0.723011778069549,0.106,0.216,9.57573694418839e-29,"AC020916.1",TRUE
6.06716219580383e-33,1.70223496003625,0.134,0.057,1.08365583979252e-28,"SEPT1",TRUE
6.85207307863938e-33,-0.306674872234108,0.762,0.87,1.22384877257578e-28,"RPS14",FALSE
7.49065903927391e-33,-0.552040186648215,0.191,0.319,1.33790661100471e-28,"FLNA",TRUE
8.70571425001386e-33,-0.626320153669215,0.045,0.126,1.55492762219498e-28,"PFKL",TRUE
9.67248179551672e-33,-0.439138068966829,0.033,0.108,1.72760197349724e-28,"CFLAR",FALSE
1.03703630595367e-32,-0.379062236084758,0.194,0.324,1.85225054606385e-28,"WASF2",FALSE
1.10974191679283e-32,-1.19951765646404,0.029,0.101,1.98211003758368e-28,"KLF2",TRUE
1.24810754945122e-32,-0.397122412309378,0.567,0.666,2.22924489407482e-28,"RPS15A",FALSE
1.42675221520508e-32,-0.729676896979615,0.03,0.103,2.5483221315778e-28,"PLAUR",TRUE
1.57308081010197e-32,-0.575512112319286,0.052,0.138,2.80967963492312e-28,"BASP1",TRUE
1.71172475798577e-32,-0.78013401615057,0.058,0.145,3.05731159023839e-28,"GNAQ",TRUE
2.0612370158037e-32,-0.669465283235462,0.039,0.115,3.68157543392699e-28,"PPP3R1",TRUE
2.15822265941781e-32,-0.982435553143756,0.041,0.118,3.85480149198614e-28,"KIAA0100",TRUE
2.40113930646187e-32,-0.276364739804614,0.134,0.252,4.28867491527154e-28,"CLINT1",FALSE
2.42866233765628e-32,-0.34549098711848,0.084,0.185,4.33783380128788e-28,"PARP1",FALSE
2.55698993555774e-32,-0.347086268770229,0.312,0.47,4.56703972389967e-28,"KLF6",FALSE
2.62952012756778e-32,-0.578332609575865,0.088,0.192,4.69658589984881e-28,"CTTNBP2",TRUE
2.80996110281531e-32,-0.908009227186793,0.041,0.118,5.01887152573843e-28,"CHD1",TRUE
2.88864842559503e-32,-0.491786868533693,0.068,0.16,5.15941495295528e-28,"ILF3",FALSE
4.6079173470572e-32,-0.336241686304751,0.091,0.193,8.23020117357887e-28,"UBR4",FALSE
5.5748002187627e-32,-0.902952021350719,0.062,0.148,9.95715067073205e-28,"SARNP",TRUE
