"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.00484158003979e-62,1.43652257570691,0.252,0.053,1.79474754610906e-58,"7","POLD3"
1.13993779442649e-62,0.986236082903034,0.285,0.065,2.03604289462515e-58,"7","MRPL44"
1.15065140146362e-62,1.19188212478992,0.423,0.13,2.05517846815417e-58,"7","EMC6"
1.27520581747029e-62,1.17255842551534,0.316,0.077,2.27764511058369e-58,"7","DDX54"
1.31937064110677e-62,1.21898366314749,0.418,0.126,2.35652790208081e-58,"7","SNRPA"
1.43325957160519e-62,1.42284517634065,0.418,0.128,2.55994492084403e-58,"7","U2AF2"
2.0295647904963e-62,1.51319326867546,0.252,0.052,3.62500567230544e-58,"7","GATD1"
3.36185906413419e-62,1.44679916569655,0.418,0.129,6.00461647445008e-58,"7","DAZAP1"
4.15971896206233e-62,0.781962286520417,0.261,0.055,7.42967403813952e-58,"7","MRPL50"
4.17198647165797e-62,0.691838832547212,0.297,0.069,7.45158503702831e-58,"7","ACADS"
6.66895715141418e-62,1.22680608476319,0.316,0.078,1.19114243681409e-57,"7","SSBP4"
6.71569380553073e-62,1.1780725733884,0.299,0.071,1.19949007060584e-57,"7","CLPTM1L"
1.34846114592035e-61,1.38474516458555,0.273,0.061,2.40848645272835e-57,"7","PCBD2"
1.40004235012332e-61,0.974322227609532,0.333,0.085,2.50061564155526e-57,"7","SLC35B2"
1.45389421987233e-61,1.18334987908155,0.387,0.111,2.59680046611397e-57,"7","SUPT16H"
1.89947782146858e-61,0.627116170515787,0.261,0.056,3.39265733692503e-57,"7","DTD1"
3.28611406804099e-61,1.16917728968446,0.271,0.06,5.86932833692802e-57,"7","RPS6KB1"
3.74726033374607e-61,1.06063562983575,0.418,0.127,6.69298168210386e-57,"7","POLR2F"
5.4334127939078e-61,1.44373238923346,0.416,0.128,9.70461859119872e-57,"7","LSM12"
6.73741482676397e-61,1.50977102758618,0.618,0.289,1.20336966220831e-56,"7","ERH"
7.29384290536935e-61,1.19570963590027,0.397,0.115,1.30275328132802e-56,"7","SMC3"
8.584696773289e-61,0.685508104779353,0.33,0.082,1.53331269067715e-56,"7","HACD1"
9.05521409435149e-61,1.55244080325004,0.565,0.236,1.61735178939212e-56,"7","PA2G4"
1.04387796766963e-60,1.25039194800818,0.523,0.191,1.86447043805472e-56,"7","SSB"
1.16047463766459e-60,1.26789752798824,0.447,0.147,2.07272375033273e-56,"7","RBBP7"
1.75644720259718e-60,1.52756322472006,0.33,0.087,3.13719034855882e-56,"7","HIST1H4I"
1.80289837805921e-60,1.25237027527845,0.28,0.064,3.22015679305156e-56,"7","RABGAP1L"
2.17619955530275e-60,1.04551309820869,0.325,0.083,3.88691002572624e-56,"7","SRP68"
2.21940866089217e-60,0.935653336277184,0.287,0.067,3.96408580921951e-56,"7","EI24"
2.40881562572425e-60,1.0418063358365,0.29,0.068,4.30238558910609e-56,"7","EXOSC3"
2.80064318839592e-60,1.34310308016667,0.268,0.06,5.00222879879395e-56,"7","C16orf87"
3.24230711454256e-60,1.39796249526327,0.352,0.098,5.79108473728447e-56,"7","MORF4L2"
3.40529711601157e-60,1.3066673489046,0.259,0.057,6.08220117890826e-56,"7","RABL6"
3.46010848429923e-60,1.57566593515158,0.672,0.386,6.18009976380685e-56,"7","SERBP1"
